"","variable","value"
"1","OECD",0.461331032808605
"2","PA020Q04NA",0.356751082625995
"3","ST061Q01NA",0.330311304886386
"4","PA007Q13NA",0.318235266438747
"5","ISCEDO",0.310993851502963
"6","Option_FL",0.298846208626034
"7","ISCEDD",0.293289472503591
"8","PA021Q03NA",0.285563680317703
"9","PA004Q01NA",0.264951058687448
"10","COMMASUP",0.260572514486441
"11","COMSCSUP",0.259392899218232
"12","EC019Q10NA",0.245563203681181
"13","EC019Q13NA",0.238525598475804
"14","EC011Q02NA",0.233320946934511
"15","EC009Q13NA",0.232623817934671
"16","COMMATSREL",0.229693202017278
"17","EC009Q10NA",0.228961520533895
"18","EC009Q03NA",0.226890566863145
"19","PA036Q05TA",0.222589834310164
"20","COMSCTSREL",0.222346527488308
"21","EC019Q07NA",0.222127120223025
"22","ST064Q03NA",0.221886626207361
"23","EC009Q12NA",0.219858376376801
"24","EC021Q02NA",0.218595398893389
"25","EC019Q03NA",0.218153950212431
"26","ST012Q03TA",0.217853583486358
"27","EC019Q12NA",0.212949610354558
"28","PA011Q02NA",0.211234051053685
"29","EC009Q07NA",0.208779106459385
"30","Option_UH",0.201446595327118
"31","ST012Q02TA",0.200811007695644
"32","EC021Q03NA",0.199699776371742
"33","EC021Q04NA",0.199100446194095
"34","Option_PQ",0.193311803231286
"35","PA011Q01NA",0.193172948807712
"36","ST064Q01NA",0.190920010491111
"37","PA005Q01TA",0.189881675573453
"38","COMSCSTRCO",0.188502314365507
"39","EC011Q03NA",0.187584726358905
"40","EC011Q04NA",0.187092457179788
"41","PA003Q05NA",0.186181238684775
"42","EC021Q01NA",0.181012846743954
"43","ST065Class",0.177926581262186
"44","PA023Q01NA",0.177718237984721
"45","WEALTH",0.170810456006569
"46","COMMASTRCO",0.169297087214058
"47","EC019Q14NA",0.168389338925596
"48","EC021Q05NA",0.167186734303381
"49","PA029Q01NA",0.166172915561827
"50","EC011Q01NA",0.162634548029799
"51","HOMEPOS",0.162545546500668
"52","EC011Q05NA",0.159819557208079
"53","ST064Q02NA",0.159131187212105
"54","PA003Q03TA",0.157559730696752
"55","PA007Q14NA",0.155653570715754
"56","ICTHOME",0.15356476020288
"57","PA008Q02TA",0.15219062716514
"58","ST123Q01NA",0.150751035989444
"59","EC009Q14NA",0.149938967838452
"60","EC023Q01NA",0.149269707250968
"61","EC010Q11NA",0.146233096333647
"62","PA009Q01NA",0.146109212822931
"63","PA009Q02NA",0.145869659311234
"64","EC020Q11NA",0.145583849269064
"65","EC010Q08NA",0.14529010610468
"66","EC010Q07NA",0.140656445338184
"67","PA008Q04TA",0.137828302923921
"68","EC020Q08NA",0.136751664413215
"69","PA036Q03TA",0.135271710892959
"70","Option_ECQ",0.134915132141869
"71","EC020Q07NA",0.133434063747769
"72","PA007Q15NA",0.132164229079557
"73","EC010Q12NA",0.131393837291676
"74","EC001Q07NA",0.131066164972023
"75","EC013Q01NA",0.130499036246556
"76","ST012Q01TA",0.128380025730043
"77","PA009Q08NA",0.126693810314365
"78","PA002Q05TA",0.12599916160885
"79","PA036Q07NA",0.125842352295011
"80","PA023Q02NA",0.122109725774734
"81","PA018Q02NA",0.120810532372289
"82","EC029Q01NA",0.119085349882652
"83","PA014Q01NA",0.118974677212484
"84","PA036Q04TA",0.117207969771775
"85","Option_CPS",0.116499711922017
"86","EMOSUPP",0.115232334744155
"87","CURSUPP",0.114696253767567
"88","PA007Q09NA",0.113153573369327
"89","ST001D01T",0.11215615809082
"90","EC020Q12NA",0.108562381114912
"91","ST012Q08NA",0.107973256643533
"92","PA036Q01TA",0.106992684093704
"93","PA021Q02NA",0.106332949343473
"94","PQENPERC",0.105992912920328
"95","PARED",0.105090091271239
"96","PA027Q03NA",0.105073785878658
"97","PA027Q06NA",0.10269677004991
"98","ST093Q01TA",0.101509315999735
"99","PA033Q09TA",0.0984570112195745
"100","ESCS",0.094030016650479
"101","ST146Q05TA",0.0933345563689493
"102","IC014Q06NA",0.0932477323788737
"103","Option_TQ",0.0930921396536137
"104","EMOSUPS",0.0921345810810266
"105","IC009Q01TA",0.0917157535392836
"106","ST022Q01TA",0.0879443494575215
"107","ST095Q15NA",0.0861791247022391
"108","IC008Q03TA",0.0853423464826592
"109","ST093Q08NA",0.0841885374024087
"110","PA003Q01TA",0.0839161547279107
"111","USESCH",0.0834900448831751
"112","PA009Q03NA",0.0820752874912997
"113","ST121Q03NA",0.0820621750975738
"114","IC006Q01TA",0.0819184879917737
"115","ST093Q04TA",0.0819077453299669
"116","ST062Q02TA",0.081352049696084
"117","PA003Q07NA",0.0806622034804729
"118","PA018Q03NA",0.0796195658323472
"119","IC011Q09TA",0.0794775992193475
"120","BSMJ",0.0791511812795111
"121","ST094Q05NA",0.0769459602853055
"122","IC009Q03TA",0.0768395104007717
"123","EC015Q01NA",0.0759917191661769
"124","PA006Q03TA",0.0752633428076202
"125","EC028Q02NA",0.0750294591726339
"126","ST076Q04NA",0.07491457191423
"127","PA036Q06TA",0.0743195072983037
"128","ST012Q06NA",0.0741131494389441
"129","ST094Q03NA",0.0739182876436508
"130","PA001Q01TA",0.0738151378288647
"131","PA032Q05TA",0.0735486523114469
"132","ST013Q01TA",0.0733405986145957
"133","ICTRES",0.0723218479838456
"134","ST093Q03TA",0.0722492398882063
"135","PA003Q08NA",0.0711536913006179
"136","ST131Q01NA",0.0710526766493533
"137","MISCED",0.070948928956144
"138","PA023Q08NA",0.0709001890318247
"139","PA027Q07NA",0.0700279167066374
"140","ST104Q01NA",0.0697246364462846
"141","PA023Q07NA",0.0696617307211003
"142","ST011Q10TA",0.0696262177056001
"143","COMPICT",0.069409656564165
"144","PA008Q09NA",0.0681246241732578
"145","ST146Q01TA",0.0681000545176621
"146","ST093Q06TA",0.0670369421746013
"147","ST062Q03TA",0.0668438732048648
"148","ST063Q03NA",0.0662953753148845
"149","IC010Q04TA",0.0658626561066568
"150","PA033Q07TA",0.065753256642535
"151","PA011Q03NA",0.0654378320712708
"152","IC011Q03TA",0.0650724044690836
"153","HISCED",0.0646026444571273
"154","ST062Q01TA",0.0645611804508804
"155","ST082Q02NA",0.0641662402826401
"156","PA035Q08NA",0.0636783547640662
"157","ST093Q05TA",0.0634464569837025
"158","PA007Q11NA",0.0632121354297812
"159","IC014Q04NA",0.0630570814629392
"160","BELONG",0.0629209538005852
"161","ST123Q04NA",0.0617131500068481
"162","EC003Q01NA",0.0602313803638919
"163","ST034Q06TA",0.0601874335674143
"164","PA032Q03TA",0.0599391061850278
"165","IC008Q08TA",0.0598863779475601
"166","AGE",0.0596907998215709
"167","IC014Q09NA",0.0595253282743004
"168","EC013Q06NA",0.0588945852465486
"169","PA001Q02TA",0.0585897578452922
"170","ST078Q04NA",0.0578643433332489
"171","PA003Q02TA",0.0578515429183249
"172","IC013Q04NA",0.0576644528924747
"173","EC024Q01NA",0.0574395201870098
"174","EC028Q03NA",0.0570093342913711
"175","PA023Q06NA",0.0564277010665001
"176","PA009Q11NA",0.0563155550825027
"177","IC013Q13NA",0.0561955714456399
"178","COOPERATE",0.0561266314478038
"179","PA002Q02TA",0.0554045378060446
"180","ST093Q07NA",0.0552515263398397
"181","ST146Q02TA",0.0550950467381437
"182","IC016Q01NA",0.0545434543990747
"183","EPIST",0.0540588144367278
"184","PA004Q03NA",0.0534270835835567
"185","ST123Q02NA",0.0525765816548461
"186","SCIEEFF",0.0523424690997599
"187","ST131Q06NA",0.0523190823454526
"188","IC014Q03NA",0.051707128436719
"189","ST092Q02TA",0.0515136493161326
"190","IC011Q05TA",0.0513841109741936
"191","EC014Q02NA",0.0508666466414087
"192","PA022Q01NA",0.0507272550220207
"193","ST076Q03NA",0.0505692658250797
"194","IC008Q04TA",0.0498108932589306
"195","ST012Q07NA",0.0497975683165166
"196","SMINS",0.049211301835962
"197","JOYSCIE",0.0486326702694186
"198","IC011Q07TA",0.0483123799891969
"199","ST034Q01TA",0.0481939730204663
"200","IC010Q03TA",0.0473658070745176
"201","PA008Q10NA",0.047090754989028
"202","PA002Q04TA",0.0470050930925623
"203","ST098Q07TA",0.0465980454854228
"204","EC017Q02NA",0.0464235256569706
"205","ST123Q03NA",0.0450298475931483
"206","IC015Q05NA",0.0449994312315429
"207","ST011Q07TA",0.0443051150721908
"208","PA007Q04TA",0.0439754909306634
"209","EC001Q08NA",0.0438313013567363
"210","PA004Q04NA",0.0436687851663107
"211","PA036Q08NA",0.0430131778731821
"212","EC023Q10NA",0.042973529658977
"213","BMMJ1",0.0427905817771836
"214","PA009Q10NA",0.0425881536998327
"215","ST146Q04TA",0.0425574750954546
"216","ST012Q09NA",0.042088823749772
"217","ST076Q01NA",0.0419468018704775
"218","ST129Q04TA",0.0418158900764274
"219","EC008Q03NA",0.0415437491402327
"220","ST092Q08NA",0.041483806515301
"221","ST032Q01NA",0.0407648273095426
"222","ST082Q03NA",0.0406520468713135
"223","PA006Q01TA",0.0400994114107169
"224","hisei",0.0395097002032501
"225","INSTSCIE",0.0394645508749747
"226","PA002Q08NA",0.0394361509593367
"227","PA023Q05NA",0.0393238077313325
"228","PA041Q01TA",0.0392135700111351
"229","IC005Q01TA",0.0389310229582576
"230","ST006Q04TA",0.0389047371338839
"231","PA019Q02NA",0.0388439355691427
"232","EC032Q01TA",0.038681677506798
"233","EC012Q11NA",0.0382388517457523
"234","INTICT",0.0382013213236682
"235","EC005Q01NA",0.038184439650107
"236","EC024Q04NA",0.0378092452616648
"237","ST076Q06NA",0.0377748494978669
"238","ST094Q01NA",0.0374978171379365
"239","ST119Q02NA",0.0374496888723535
"240","EC022Q11NA",0.0373226407999526
"241","ST103Q08NA",0.0370907755593082
"242","ST119Q05NA",0.0370290383028408
"243","PA008Q07NA",0.036962375966477
"244","IC004Q01TA",0.0368557352654353
"245","EC013Q12NA",0.0367116098751954
"246","ST103Q01NA",0.0366753018746678
"247","IBTEACH",0.0361022347898787
"248","IC014Q08NA",0.0358762990459541
"249","ST092Q06NA",0.0356233815203726
"250","EC004Q02NA",0.0353804047503337
"251","PA002Q10NA",0.035296274851554
"252","PA019Q04NA",0.0351957319879211
"253","ENVAWARE",0.0351882426125872
"254","ST100Q02TA",0.0346444975008696
"255","INTBRSCI",0.034630694481016
"256","ST100Q03TA",0.0346306041648662
"257","ST095Q07NA",0.03437606430083
"258","IC009Q09TA",0.0341751435077527
"259","ST095Q08NA",0.0338888299789348
"260","IC016Q07NA",0.0338452850805513
"261","ST076Q11NA",0.0337501476113124
"262","IC007Q01TA",0.033404911958512
"263","ST076Q02NA",0.0324288447219937
"264","ST118Q05NA",0.0323566298160917
"265","FISCED",0.0322869975628535
"266","ICTSCH",0.0321612071723133
"267","ST131Q04NA",0.0316395338939352
"268","IC001Q06TA",0.0316173620282841
"269","IC008Q13NA",0.0314039486092476
"270","IC013Q12NA",0.0313364241334784
"271","ST098Q02TA",0.0309954903066087
"272","IC009Q07NA",0.0307286428865134
"273","MOTIVAT",0.0304343255073717
"274","EC013Q10NA",0.0300700295919811
"275","PA042Q01TA",0.0297334803044603
"276","IC013Q01NA",0.0294178743685244
"277","EC007Q02NA",0.0293785596221102
"278","ST082Q12NA",0.0292737260187577
"279","IC011Q01TA",0.0290010369374803
"280","ST092Q04TA",0.028852674870679
"281","EC001Q04NA",0.0284400211613579
"282","PA027Q08NA",0.0282627331558656
"283","ST119Q04NA",0.027909379686123
"284","ST082Q14NA",0.027464687254625
"285","ST092Q01TA",0.0269904962687883
"286","IC008Q12TA",0.0269432988857601
"287","PA004Q02NA",0.0262315169572223
"288","ST034Q04TA",0.0257586123688084
"289","EC023Q12NA",0.0257356152227578
"290","PA007Q05TA",0.0256415856695088
"291","PA002Q03TA",0.025480051798732
"292","ST129Q08TA",0.0252486039062297
"293","EC001Q06NA",0.0245401092125142
"294","ST082Q08NA",0.0243771795337468
"295","ST131Q11NA",0.0242644063321407
"296","HEDRES",0.0242494618033404
"297","IC016Q05NA",0.0239702473725719
"298","ENTUSE",0.0238410969195087
"299","ST131Q08NA",0.0235927378813786
"300","ST011Q08TA",0.0230863469614954
"301","ST107Q02NA",0.0228935705270628
"302","EC003Q02NA",0.0228322346027968
"303","IC001Q01TA",0.0225150363635117
"304","TDTEACH",0.0224156477588492
"305","EC022Q10NA",0.0219936814828703
"306","CNTSTUID",0.0218479353897589
"307","CNTSCHID",0.0217687842254519
"308","CNTRYID",0.021757657474298
"309","EC023Q06NA",0.0210710288966313
"310","ST107Q01NA",0.0209239143691576
"311","ST146Q08NA",0.0207365026015632
"312","ST063Q04NB",0.0206039866170004
"313","ST071Q01NA",0.020295142212099
"314","MMINS",0.0201847665776562
"315","ST127Q03TA",0.0200371167917009
"316","ST032Q02NA",0.0192891900513227
"317","W_FSTURWT22",0.0191932641862468
"318","W_FSTURWT7",0.019099225871041
"319","ST063Q05NB",0.0185794750043929
"320","W_FSTURWT14",0.0185792464823188
"321","EC012Q10NA",0.0185168659022215
"322","EC022Q12NA",0.0184714274552662
"323","ADINST",0.0181350663215496
"324","ST094Q04NA",0.0179751954056493
"325","IC011Q06TA",0.0179499596393045
"326","BFMJ2",0.0178811812443885
"327","IC011Q02TA",0.0176992843191704
"328","W_FSTURWT75",0.0176694952435043
"329","W_FSTURWT43",0.0174330403922575
"330","W_FSTURWT67",0.0172186025464217
"331","PA008Q05TA",0.0171517101386468
"332","WVARSTRR",0.0169245296023843
"333","W_FSTURWT4",0.0169236202812979
"334","EC012Q12NA",0.01661946754486
"335","W_FSTURWT46",0.0164501217950664
"336","IC015Q09NA",0.0163919597732754
"337","W_FSTURWT8",0.0163572674920472
"338","W_FSTURWT15",0.016283282326904
"339","W_FSTURWT57",0.0158195155863699
"340","W_FSTURWT47",0.0157980381182708
"341","PA007Q01TA",0.0157965462697763
"342","W_FSTURWT55",0.015477576309667
"343","PA019Q06NA",0.0154175549616432
"344","W_FSTURWT18",0.0153738263355065
"345","W_FSTURWT16",0.015212230812433
"346","W_FSTURWT2",0.0150612092916713
"347","IC013Q11NA",0.0150521893131845
"348","W_FSTURWT28",0.0148226720490019
"349","EC018Q02NA",0.014815501727991
"350","W_FSTURWT23",0.0146346293282448
"351","W_FSTURWT31",0.0145323000713847
"352","ST119Q01NA",0.0144339747231453
"353","W_FSTURWT44",0.0144189929879032
"354","W_FSTURWT48",0.014412339969849
"355","ST146Q03TA",0.0142271978993707
"356","W_FSTURWT42",0.0142020748549404
"357","CULTPOSS",0.0140585304824582
"358","W_FSTURWT56",0.0139753318023685
"359","ST039Q02NA",0.0139419029979816
"360","W_FSTURWT24",0.0136756263325807
"361","W_FSTURWT11",0.0134712273615494
"362","W_FSTURWT73",0.0134301442558425
"363","W_FSTURWT77",0.013230495255399
"364","BOOKID",0.0129332355010988
"365","EC018Q03NA",0.0129076797665482
"366","W_FSTURWT32",0.0128896190587498
"367","IC010Q01TA",0.012802456561597
"368","W_FSTURWT76",0.0125487043665099
"369","W_FSTURWT41",0.0124016735623059
"370","ST131Q03NA",0.0123650499658947
"371","W_FSTURWT51",0.012361679001725
"372","W_FSTURWT20",0.0123474295503817
"373","W_FSTUWT",0.012266344673509
"374","W_FSTURWT9",0.0121748068134959
"375","IC008Q11TA",0.0121560634443445
"376","W_FSTURWT71",0.0121297944004149
"377","IC008Q10TA",0.0121233598377419
"378","IC015Q07NA",0.0121152263264547
"379","W_FSTURWT54",0.0119868950115252
"380","W_FSTURWT29",0.0119277988232335
"381","GRADE",0.0118667483682581
"382","ST071Q05NA",0.0116346382779429
"383","W_FSTURWT6",0.0113662611089218
"384","W_FSTURWT25",0.0111776585277379
"385","ST011Q11TA",0.0110883449527601
"386","PQGENSCI",0.0108329988670782
"387","ST094Q02NA",0.0106018766501045
"388","W_FSTURWT60",0.0105713292963758
"389","ST100Q05TA",0.0105694408335279
"390","EC015Q06NA",0.0105538054975217
"391","W_FSTURWT72",0.0105223373359955
"392","W_FSTURWT59",0.010225466178717
"393","W_FSTURWT35",0.0102246899931323
"394","W_FSTURWT27",0.0101591845281358
"395","W_FSTURWT10",0.0100287591078881
"396","W_FSTURWT58",0.0100045090641359
"397","W_FSTURWT78",0.00991105245185369
"398","ST146Q06NA",0.00979457937284623
"399","W_FSTURWT40",0.00968092711844458
"400","W_FSTURWT50",0.00955660492242767
"401","ST078Q06NA",0.00914979427351534
"402","W_FSTURWT38",0.0084835183866486
"403","W_FSTURWT45",0.00844775665277193
"404","W_FSTURWT36",0.0084228962344756
"405","W_FSTURWT62",0.00838814197746881
"406","ST004D01T",0.00831026309777402
"407","ST011Q12TA",0.00824704293468822
"408","W_FSTURWT70",0.00816603444540439
"409","W_FSTURWT74",0.00807082577694055
"410","EC015Q04NA",0.00803304840651809
"411","W_FSTURWT12",0.00800951783613864
"412","W_FSTURWT69",0.00798328312429597
"413","W_FSTURWT79",0.00789726618385582
"414","PQSCHOOL",0.00789465142163932
"415","W_FSTURWT52",0.00787933226842604
"416","ST107Q03NA",0.00769179480956617
"417","W_FSTURWT19",0.00768161204182566
"418","W_FSTURWT30",0.00758669033541787
"419","W_FSTURWT68",0.00750062517283035
"420","W_FSTURWT3",0.00742785582300962
"421","EC005Q06NA",0.00726246222264245
"422","W_FSTURWT21",0.0070082811207178
"423","ST031Q01NA",0.00699688562496272
"424","W_FSTURWT65",0.00699335960492741
"425","CBASCI",0.00697295203852045
"426","W_FSTURWT39",0.00695080104944394
"427","W_FSTURWT1",0.00692594528269419
"428","EC023Q07NA",0.00691959859620908
"429","W_FSTURWT5",0.00686253154515259
